BlockWidth,MatrixSize,GPUAverage,GPUError
2,100,0.382496,0.001674
2,250,4.796437,0.016047
2,500,39.638306,0.132583
2,1000,351.074219,2.699826
2,1500,1178.507690,8.874120
5,100,0.114517,0.004673
5,250,0.980384,0.002663
5,500,6.618219,0.017139
5,1000,60.493267,0.291899
5,1500,209.924881,0.750000
16,100,0.115755,0.003989
16,250,0.409045,0.023429
16,500,2.101792,0.026122
16,1000,16.732309,0.000000
16,1500,55.623928,0.068108
25,100,0.107627,0.008341
25,250,0.394475,0.000488
25,500,2.418837,0.012314
25,1000,20.889162,0.205218
25,1500,67.757820,0.945022
32,100,0.103232,0.006888
32,250,0.419627,0.014270
32,500,2.980043,0.227352
32,1000,26.807959,0.638573
32,1500,84.437752,1.189554
