TileWidth,MatrixSize,GPUAverage,GPUError
2,100,0.381899,0.010895
2,250,4.796672,0.003383
2,500,39.886951,0.461797
2,1000,350.942139,1.972467
2,1500,1191.413208,1.000000
5,100,0.116245,0.000275
5,250,0.986912,0.006371
5,500,6.617184,0.004784
5,1000,60.509129,0.302980
5,1500,207.891296,3.785251
10,100,0.113739,0.003097
10,250,0.413920,0.007986
10,500,2.459083,0.007904
10,1000,20.279188,0.005524
10,1500,69.854317,0.180872
25,100,0.106251,0.007846
25,250,0.404565,0.012928
25,500,2.427765,0.003588
25,1000,20.429953,0.000000
25,1500,67.062386,0.000000
50,100,0.014112,0.009145
50,250,0.005941,0.000254
50,500,0.006443,0.000222
50,1000,0.007477,0.000780
50,1500,0.006891,0.000200
